Bilangan,ID Stesen,Nama Stesen,Daerah,Lembangan,Sub Lembangan,Update sekarang,Aras Air,Normal,Waspada,Amaran,Bahaya
1,3516424,Sg. Selangor di Ampang Pecah,Hulu Selangor,Sungai Selangor,Sg. Selangor,12/11/2022 13:00,50.19,50.10,51.30,51.60,51.90
2,3416403,Sg. Batang Kali di Batang Kali,Hulu Selangor,Sungai Selangor,Sg. Batang Kali,12/11/2022 13:00,32.65,34.00,35.20,35.50,35.80
3,3416402,Sg. Liam di Ulu Yam,Hulu Selangor,Sungai Selangor,Sg. Liam,12/11/2022 13:00,32.91,35.00,37.30,37.90,38.30
4,3315481,Sg. Guntong di Kg. Sungai Buaya,Hulu Selangor,Sungai Selangor,Sg. Guntong,12/11/2022 13:15,14.78,15.00,18.00,18.50,19.00
5,3615412,Sg. Bernam di Tanjung Malim,Hulu Selangor,Sungai Bernam,Sg. Bernam,12/11/2022 13:00,36.77,38.30,40.60,40.90,41.10
6,3714480,Sg. Bernam di Kg. Sg. Selisek,Hulu Selangor,Sungai Bernam,Sg. Bernam,12/11/2022 12:30,26.50,23.00,26.10,26.80,27.10
7,3808401,Sg. Bernam di Sg. Air Tawar,Sabak Bernam,Sungai Bernam,Sg. Bernam,12/11/2022 13:00,0.14,1.00,4.30,4.60,4.90
8,3711402,Sg. Bernam di Rimba KDR,Sabak Bernam,Sungai Bernam,Sg. Bernam,12/11/2022 12:45,1.45,1.00,1.70,2.00,2.30
9,3414421,Sg. Selangor di Rantau Panjang,Kuala Selangor,Sungai Selangor,Sg. Selangor,12/11/2022 13:00,8.63,4.50,6.80,7.30,7.80
10,3313445,Sg. Selangor di Kg. Asahan,Kuala Selangor,Sungai Selangor,Sg. Selangor,12/11/2022 13:15,2.80,0.20,3.22,3.38,3.54
11,3312446,Sg. Selangor di Teluk Penyamun (Jeti),Kuala Selangor,Sungai Selangor,Sg. Selangor,12/11/2022 12:45,-0.96,1.30,2.10,2.60,3.10
12,3312447,P/A Sg. Yu 1,Kuala Selangor,Sungai Selangor,Sg. Yu,12/11/2022 13:00,0.77,1.50,1.80,2.00,2.30
13,3214401,Sg. Buloh di Sri Aman,Kuala Selangor,Sungai Buloh,Sg. Buloh,12/11/2022 13:15,4.45,5.00,6.50,7.00,7.50
14,3313470,Sg. Buloh di Parit Mahang,Kuala Selangor,Sungai Buloh,Sg. Buloh,12/11/2022 13:00,3.61,1.00,3.50,4.00,4.50
15,3315401,Sg. Rawang di Taman Tun Teja,Gombak,Sungai Selangor,Sg. Rawang,12/11/2022 13:00,33.13,32.80,34.30,34.80,35.30
16,3315410,Sg. Gong di Jln. B27 Country Homes,Gombak,Sungai Selangor,Sg. Gong,12/11/2022 13:00,20.84,20.90,21.40,21.70,22.00
17,3315480,Sg. Bakau di Country Homes Rawang,Gombak,Sungai Selangor,Sg. Bakau,12/11/2022 13:00,16.20,15.80,18.50,19.00,19.50
18,3215480,Sg. Kuang di Kg. Melayu Seri Kundang,Gombak,Sungai Selangor,Sg. Kuang,12/11/2022 13:00,21.34,20.80,22.70,23.20,23.70
19,3216467,Sg. Batu di Batu Caves,Gombak,Sungai Klang,Sg. Batu,12/11/2022 13:00,48.77,48.90,51.00,51.50,52.00
20,3115180,Sg. Buloh di Paya Jaras,Petaling,Sungai Buloh,Sg. Buloh,12/11/2022 07:15,18.23,22.00,23.70,24.30,25.20
21,0220291,Sg. Bakul di Kg. Budiman,Petaling,Sungai Kapar Besar,Sg. Bakul,12/11/2022 13:00,6.20,7.10,7.40,7.70,8.00
22,3017445,Sg. Kuyoh di Seri Kembangan,Petaling,Sungai Klang,Sg. Kuyoh,12/11/2022 13:00,36.49,36.50,38.50,39.00,40.00
23,3016402,Sg. Penchala di Jalan 222,Petaling,Sungai Klang,Sg. Penchala,12/11/2022 13:00,17.04,18.00,21.00,21.50,22.00
